Extraction Type,Extraction Layer,Distance Function Type,Combination Function Level,# of Neurons per Layer,# of Layers,Loss Mean,Loss Std,Binary Accuracy Mean,Binary Accuracy Std,Precision Mean,Precision Std,Recall Mean,Recall Std,True Negatives Mean,True Negatives Std,False Positives Mean,False Positives Std,False Negatives Mean,False Negatives Std,True Positives Mean,True Positives Std
Transfer,1,Euclidean,0,0,0,0.39755697240233423,0.006752002205493348,0.5057625114917755,0.005204300272586473,0.5051285982131958,0.0037769747275190496,0.5029341101646423,0.018978654818137302,4074.2,64.77036359323607,3935.6,97.41560449948457,3972.2,169.73714973452334,4018.0,134.23114392718256
Transfer,1,Euclidean,0,1024,1,0.26528630279898646,0.010968850564507492,0.5042250037193299,0.00235209973377727,0.5018535137176514,0.00522905171113017,0.7412461876869202,0.3208134061102447,2123.4,2586.2257828735683,5873.4,2540.435651615683,2059.0,2533.1544564041096,5944.2,2579.4768268003495
Transfer,1,Euclidean,0,16,1,0.15033868216574192,0.006426734318834412,0.7916000008583068,0.009799612742553258,0.7620820999145508,0.011160305967156794,0.8501751303672791,0.01851227665912175,5843.8,239.82743796321554,2132.8,170.53650635567743,1201.6,143.22988514971308,6821.8,186.7450133203026
Transfer,1,Euclidean,1,0,0,0.3526707240462303,0.00430500690127984,0.5085250020027161,0.006508803602196994,0.5086712837219238,0.008502503199097684,0.5835885405540466,0.02701761829973017,3453.0,159.7263284496329,4522.2,176.84088893691978,3341.4,214.49778553635466,4683.4,226.8265857433824
Transfer,1,Euclidean,1,1024,1,0.2643188671410084,0.008870919826020911,0.5190000057220459,0.006193961905463188,0.513084864616394,0.004964726390229686,0.8315076112747193,0.11482206917877073,1630.8,992.9648533558476,6344.6,985.4878487327989,1351.4,918.4880510926639,6673.2,926.5811891032539
Transfer,1,Euclidean,1,16,1,0.2520249811172486,0.0006849753911059907,0.5105999946594239,0.0036525253961139656,0.5103387117385865,0.004428138656336018,0.6009613633155823,0.025361868845967646,3345.6,199.3057951992365,4627.8,184.5635391945007,3202.6,198.72166464681197,4824.0,215.88654427731248
Transfer,1,Euclidean,2,0,0,0.15198685354366898,0.002713811340841478,0.8024374961853027,0.004519266480191737,0.8029627084732056,0.009221491068862105,0.803423535823822,0.0069049928951447825,6390.8,54.73298822465296,1583.0,89.08142342823221,1578.0,64.47867864651074,6448.2,39.86477141537375
Transfer,1,Euclidean,2,1024,1,0.134500398106128,0.00237062967357704,0.8091750025749207,0.004403337855886488,0.8057791471481324,0.029865144271530402,0.8202231168746948,0.041741121595370446,6356.6,369.2882343102742,1608.8,367.6182802854069,1444.4,333.76009348033205,6590.2,339.875271239318
Transfer,1,Euclidean,2,16,1,0.13416234128698706,0.004401681772139984,0.8068374991416931,0.007112058062825577,0.800432312488556,0.010989850692409455,0.8136496901512146,0.008170429001599052,6448.8,70.50673726673217,1611.2,97.85295090082874,1479.4,58.79455757125824,6460.6,99.20080644833489
Transfer,1,Euclidean,3,0,0,0.18680715632140638,0.004017991139579212,0.7160750031471252,0.004296934093118935,0.7352868676185608,0.03188354855749722,0.6864805817604065,0.0640216754366344,5931.6,487.63849314835676,2021.8,456.66858880374065,2521.0,504.5597090533488,5525.6,543.3422494155963
Transfer,1,Euclidean,3,1024,1,0.18657687875926493,0.001521318788005364,0.7170250058174134,0.005524392107325995,0.7225525617599488,0.03198492654459529,0.7113727688789367,0.050429045253684975,5779.0,488.4859261022778,2217.0,496.72477288736064,2310.6,409.5488981794482,5693.4,402.5807993434361
Transfer,1,Euclidean,3,16,1,0.18706678500473498,0.005160937333772271,0.7205374956130981,0.0038887389272848137,0.7314618945121765,0.010913704633827289,0.7003780841827393,0.012924242941758195,5906.2,84.5913707182949,2065.8,126.49584973428969,2405.6,112.48688812479435,5622.4,99.22096552644507
Transfer,2,Euclidean,0,0,0,0.3973718812346458,0.007599614667136531,0.511050009727478,0.01193973864617831,0.509210467338562,0.011868579087689698,0.5066064536571503,0.05567739548651598,4138.0,334.25514206964715,3888.0,360.5676080848084,3935.2,455.93607008000583,4038.8,436.32006600659565
Transfer,2,Euclidean,0,1024,1,0.10652311751693488,0.004376886115538077,0.8543750047683716,0.007143616753913583,0.8260392665863037,0.016012485298872114,0.8998621582984925,0.025935936329335805,6446.8,211.5105198329388,1526.6,203.29117049198177,803.4,205.79309998151055,7223.2,228.74155722124476
Transfer,2,Euclidean,0,16,1,0.1460167210623622,0.0024466727149206435,0.800849997997284,0.0042946958405618236,0.7706122875213623,0.004908891233742473,0.8565922379493713,0.012256655850353428,5963.2,39.45503770116055,2039.2,52.722860316944114,1147.2,103.28939926246062,6850.4,97.03246879266753
Transfer,2,Euclidean,1,0,0,0.3236455783367157,0.009891195702216235,0.5279624938964844,0.009278092668400677,0.5213924407958984,0.007960316383719825,0.6483928084373474,0.03650191997885825,3271.0,175.94033079427808,4746.8,151.6334395837541,2805.8,282.97915117548854,5176.4,310.7342916383707
Transfer,2,Euclidean,1,1024,1,0.2568577034652233,0.005229931459990835,0.5525375008583069,0.018966832382894698,0.533994734287262,0.012654701033631994,0.8361972212791443,0.09077134879572529,2125.2,590.5012277717973,5849.2,547.9810215691781,1310.2,719.0136994522427,6715.4,781.9295364673213
Transfer,2,Euclidean,1,16,1,0.11836976427137853,0.006173927489182736,0.8418249964714051,0.008019069405838236,0.8136764764785767,0.013524022118604578,0.8853904128074646,0.004609072848345426,6413.8,132.73733461238402,1617.4,142.6649922020115,913.4,40.543803472294016,7055.4,50.2075691504777
Transfer,2,Euclidean,2,0,0,0.09552116611357779,0.002315578431963203,0.8698750019073487,0.0034394775922909826,0.8503183126449585,0.004282759550079096,0.898796808719635,0.008000115541789499,6705.6,36.889022757454555,1269.8,45.041092349098285,812.2,65.7662527440936,7212.4,58.35494837629454
Transfer,2,Euclidean,2,1024,1,0.09355877910703422,0.004049286055408877,0.8698000073432922,0.005980012712117727,0.878819215297699,0.026829682500555237,0.8607926726341247,0.031900404046441275,7004.6,289.3186824247615,965.4,278.6015075336097,1117.8,254.67174951297602,6912.2,267.7026335320592
Transfer,2,Euclidean,2,16,1,0.09112323881685733,0.0010306595124906053,0.8736500144004822,0.002525876224418468,0.8509246945381165,0.005381362322728857,0.9057583808898926,0.006039041535655875,6740.6,72.33809508136083,1268.4,57.88177606120945,753.2,50.844862080646855,7237.8,51.95863739552838
